"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Snohomish","CITY OF MUKILTEO City of Mukilteo - Proposition 1 Levy for Purchase of Japanese Gulch Park and Open Space","No","","2711","44.3554","CITY OF MUKILTEO"
"Snohomish","MUKILTEO SCHOOL DISTRICT 6 Mukilteo School Dsitrict No. 6 - Proposition 1 Transportation Vehicle Fund Levy","Yes","","11484","58.0821","MUKILTEO SCHOOL DISTRICT 6"
"Snohomish","MUKILTEO SCHOOL DISTRICT 6 Mukilteo School Dsitrict No. 6 - Proposition 1 Transportation Vehicle Fund Levy","No","","8288","41.9179","MUKILTEO SCHOOL DISTRICT 6"
"Snohomish","PUBLIC UTILITIES DISTRICT NO 1 COMMISSIONER DISTRICT 2","Kathleen (Kathy) Vaughn","","100803","63.1242","PUBLIC UTILITIES DISTRICT NO 1"
"Snohomish","PUBLIC UTILITIES DISTRICT NO 1 COMMISSIONER DISTRICT 2","Eric Teegarden","","58887","36.8758","PUBLIC UTILITIES DISTRICT NO 1"
"Snohomish","BRIER ANNEXATION City of Brier - Proposition 1 Referendum Measure Concerning the Allview Heights Annexation","Yes","","19","54.2857","BRIER ANNEXATION"
"Snohomish","BRIER ANNEXATION City of Brier - Proposition 1 Referendum Measure Concerning the Allview Heights Annexation","No","","16","45.7143","BRIER ANNEXATION"
"Snohomish","LAKE STEVENS SEWER ANNEX Lake Stevens Sewer District - Proposition 1 Sewer District Boundary Alignment","For Annexation to District","","1365","78.4032","LAKE STEVENS SEWER ANNEX"
"Snohomish","LAKE STEVENS SEWER ANNEX Lake Stevens Sewer District - Proposition 1 Sewer District Boundary Alignment","Against Annexation to District","","376","21.5968","LAKE STEVENS SEWER ANNEX"
"Snohomish","MONROE ANNEXATION City of Monroe - Proposition 1 Roosevelt Ridge Annexation Proposal","For annexation and assumption of indebtedness","","8","8.6957","MONROE ANNEXATION"
"Snohomish","MONROE ANNEXATION City of Monroe - Proposition 1 Roosevelt Ridge Annexation Proposal","Against annexation and assumption of indebtedness","","84","91.3043","MONROE ANNEXATION"
"Spokane","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","107237","70.2723","Statewide"
"Spokane","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","45365","29.7277","Statewide"
"Spokane","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","77849","50.5021","Statewide"
"Spokane","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","76301","49.4979","Statewide"
"Spokane","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","67615","43.2177","Statewide"
"Spokane","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","88837","56.7823","Statewide"
"Spokane","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","81461","52.0218","Statewide"
"Spokane","Statewide Initiative Measure No. 502 Concerns marijuana","No","","75129","47.9782","Statewide"
"Spokane","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","93142","64.305","Statewide"
"Spokane","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","51702","35.695","Statewide"
"Spokane","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","59152","39.8357","Statewide"
"Spokane","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","89338","60.1643","Statewide"
"Spokane","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","90651","63.16","Washington State"
"Spokane","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","52875","36.84","Washington State"
"Spokane","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","87237","61.9374","Washington State"
"Spokane","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","53610","38.0626","Washington State"
"Spokane","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","72271","45.8855","United States"
"Spokane","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","81703","51.8739","United States"
"Spokane","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","1774","1.1263","United States"
"Spokane","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","613","0.3892","United States"
"Spokane","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","797","0.506","United States"
"Spokane","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","85","0.054","United States"
"Spokane","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","61","0.0387","United States"
"Spokane","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","199","0.1263","United States"
"Spokane","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","78074","50.102","United States"
"Spokane","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","77756","49.898","United States"
"Spokane","Congressional District 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","93400","60.1909","Congressional District 5"
"Spokane","Congressional District 5 U.S. Representative","Rich Cowan","(Prefers Democratic Party)","61773","39.8091","Congressional District 5"
"Spokane","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","68137","43.918","Washington State"
"Spokane","Washington State Governor","Rob McKenna","(Prefers Republican Party)","87009","56.082","Washington State"
"Spokane","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","71631","47.6451","Washington State"
"Spokane","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","78712","52.3549","Washington State"
"Spokane","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","85735","57.4839","Washington State"
"Spokane","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","63411","42.5161","Washington State"
"Spokane","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","74032","49.8354","Washington State"
"Spokane","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","74521","50.1646","Washington State"
"Spokane","Washington State State Auditor","James Watkins","(Prefers Republican Party)","82189","55.6995","Washington State"
"Spokane","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","65369","44.3005","Washington State"
"Spokane","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","64680","43.2162","Washington State"
"Spokane","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","84986","56.7838","Washington State"
"Spokane","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","76828","51.4068","Washington State"
"Spokane","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","72623","48.5932","Washington State"
"Spokane","Washington State Superintendent of Public Instruction","Randy I. Dorn","","109747","100","Washington State"
"Spokane","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","71395","48.5581","Washington State"
"Spokane","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","75635","51.4419","Washington State"
"Spokane","Legislative District 3 State Senator","Andy Billig","(Prefers Democratic Party)","21914","58.1119","Legislative District 3"
"Spokane","Legislative District 3 State Senator","Nancy McLaughlin","(Prefers G.O.P. Party)","15796","41.8881","Legislative District 3"
"Spokane","Legislative District 3 State Representative Pos. 1","Marcus Riccelli","(Prefers Democratic Party)","23100","62.6764","Legislative District 3"
"Spokane","Legislative District 3 State Representative Pos. 1","Tim Benn","(Prefers G.O.P. Party)","13756","37.3236","Legislative District 3"
"Spokane","Legislative District 3 State Representative Pos. 2","Timm Ormsby","(Prefers Democratic Party)","23193","62.3451","Legislative District 3"
"Spokane","Legislative District 3 State Representative Pos. 2","Dave White","(Prefers Republican Party)","14008","37.6549","Legislative District 3"
"Spokane","Legislative District 4 State Senator","Mike Padden","(Prefers Republican  Party)","34841","100","Legislative District 4"
"Spokane","Legislative District 4 State Representative Pos. 1","Larry Crouse","(Prefers Republican Party)","34149","100","Legislative District 4"
"Spokane","Legislative District 4 State Representative Pos. 2","Matt Shea","(Prefers Republican Party)","25610","56.4134","Legislative District 4"
"Spokane","Legislative District 4 State Representative Pos. 2","Amy C. Biviano","(Prefers Democratic Party)","19787","43.5866","Legislative District 4"
"Spokane","Legislative District 6 State Representative Pos. 1","Kevin Parker","(Prefers Republican Party)","33585","100","Legislative District 6"
"Spokane","Legislative District 6 State Representative Pos. 2","Dennis Dellwo","(Prefers Democratic Party)","20916","45.5915","Legislative District 6"
"Spokane","Legislative District 6 State Representative Pos. 2","Jeff Holy","(Prefers Republican Party)","24961","54.4085","Legislative District 6"
"Spokane","Legislative District 7 State Representative Pos. 1","Shelly Short","(Prefers Republican Party)","14101","100","Legislative District 7"
"Spokane","Legislative District 7 State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)","9170","58.7707","Legislative District 7"
"Spokane","Legislative District 7 State Representative Pos. 2","Robert (Bob) Wilson","(Prefers Republican Party)","6433","41.2293","Legislative District 7"
"Spokane","Legislative District 9 State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)","2344","100","Legislative District 9"
"Spokane","Legislative District 9 State Representative Pos. 1","Susan Fagan","(Prefers Republican Party)","2351","100","Legislative District 9"
"Spokane","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican  Party)","2349","100","Legislative District 9"
"Spokane","COUNTY WIDE COMMISSIONER DISTRICT 1","Todd Mielke","(Prefers Republican Party)","80656","53.7778","COUNTY WIDE"
"Spokane","COUNTY WIDE COMMISSIONER DISTRICT 1","John Roskelley","(Prefers Democratic Party)","69324","46.2222","COUNTY WIDE"
"Spokane","COUNTY WIDE COMMISSIONER DISTRICT 2","Daryl Romeyn","(Prefers Democratic Party)","68256","45.6449","COUNTY WIDE"
"Spokane","COUNTY WIDE COMMISSIONER DISTRICT 2","Shelly O'Quinn","(Prefers Republican Party)","81281","54.3551","COUNTY WIDE"
"Spokane","COUNTY WIDE DISTRICT COURT JUDGE POS 8","Randy A. Brandt","","103039","100","COUNTY WIDE"
"Spokane","Supreme Court Justice Position 2","Susan Owens","","108827","100","Supreme Court"
"Spokane","Supreme Court Justice Position 8","Steve Gonzalez","","108443","100","Supreme Court"
"Spokane","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","63972","50.281","Supreme Court"
"Spokane","Supreme Court Justice Position 9","Richard B. Sanders","","63257","49.719","Supreme Court"
"Spokane","Court of Appeals, Division 3, District 1 Judge Position 1","Laurel Siddoway","","105161","100","Court of Appeals, Division 3, District 1"
"Spokane","CITY OF MEDICAL LAKE Proposition No. 1 City of Medical Lake - Emergency Medical Services Replacement Levy","Yes","","940","71.4829","CITY OF MEDICAL LAKE"
